submissionType,accessionNum,docPath,notes,factCount,multiInstance,multiDoc,Instances
6-K,000121390021056659,/Archives/edgar/data/1517396/000121390021056659/stratasys-6k.htm,,809,,TRUE,
8-K,000080786323000002,/Archives/edgar/data/807863/000080786323000002/mitk-20230104.htm,,21,,,
8-K/A,000106299321011674,/Archives/edgar/data/1852707/000106299321011674/form8ka.htm,,23,,,
6-K/A,000110465923127862,/Archives/edgar/data/1574232/000110465923127862/adxn-20230630xex99d1.htm,,912,,,
10-Q,000143774923034166,/Archives/edgar/data/1415744/000143774923034166/nmex20231031_10q.htm,,226,,,
40-F/A,000121390023047204,/Archives/edgar/data/1500881/000121390023047204/ea179913-40fa1_encore.htm,,42,,,
485BPOS,000089418923007993,/Archives/edgar/data/1141819/000089418923007993/ck0001141819-20231031.htm,,145,,,
10-KT,000182912623008291,/Archives/edgar/data/1653876/000182912623008291/momentous_10kt.htm,,220,,,
10-QT,000149315224000139,/Archives/edgar/data/1879293/000149315224000139/form10-qt.htm,,515,,,
F-1,000110465923128439,/Archives/edgar/data/1950246/000110465923128439/mtal-20230630xf1.htm,,1360,,,
F-4,000175528122000036,/Archives/edgar/data/1755281/000175528122000036/scl-20220621.htm,,3803,,,
POS AM,000168316823002400,/Archives/edgar/data/1304409/000168316823002400/athenagold_posam.htm,,564,,,
40-F,000121390023047204,/Archives/edgar/data/1500881/000121390023047204/ea179913-40fa1_encore.htm,,42,,,
PRE 14A,000110465923037771,/Archives/edgar/data/1679688/000110465923037771/tm232053d4_pre14a.htm,,111,,,
10-K,000158765021000010,/Archives/edgar/data/1587650/000158765021000010/aep-20201231.htm,,33,,,
S-4/A,000119312524093570,/Archives/edgar/data/93410/000119312524093570/d576159ds4a.htm,,2993,,,
10-Q,000090831524000023,/Archives/edgar/data/908315/000090831524000023/wina-20240330x10q.htm,,399,,,
Exhibit 99.1,000101376223000425,/Archives/edgar/data/1837493/000101376223000425/ea185980ex99-1_inspiratech.htm,text-block-facts,381,,TRUE,
6-K,000119312524147598,/Archives/edgar/data/9631/000119312524147598/d783326d6k.htm,,4584,,TRUE,
