submissionType,accessionNum,url,docPath,dev1Url,testSecUrl,secUrl,Notes,factCount,multiInstance,multiDoc
6-K,000121390021056659,https://www.sec.gov/Archives/edgar/data/1517396/000121390021056659/0001213900-21-056659-index.html,/Archives/edgar/data/1517396/000121390021056659/stratasys-6k.htm,http://172.18.85.157:8082/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1517396/000121390021056659/stratasys-6k.htm,https://www-test.sec.gov/ix?doc=/Archives/edgar/data/1517396/000121390021056659/stratasys-6k.htm,https://www.sec.gov/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1517396/000121390021056659/stratasys-6k.htm,,809,,TRUE
8-K,000080786323000002,https://www.sec.gov/Archives/edgar/data/807863/000080786323000002/0000807863-23-000002-index.html,/Archives/edgar/data/807863/000080786323000002/mitk-20230104.htm,http://172.18.85.157:8082/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/807863/000080786323000002/mitk-20230104.htm,https://www-test.sec.gov/ix?doc=/Archives/edgar/data/807863/000080786323000002/mitk-20230104.htm,https://www.sec.gov/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/807863/000080786323000002/mitk-20230104.htm,,21,,
8-K/A,000106299321011674,https://www.sec.gov/Archives/edgar/data/1852707/000106299321011674/0001062993-21-011674-index.html,/Archives/edgar/data/1852707/000106299321011674/form8ka.htm,http://172.18.85.157:8082/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1852707/000106299321011674/form8ka.htm,https://www-test.sec.gov/ix?doc=/Archives/edgar/data/1852707/000106299321011674/form8ka.htm,https://www.sec.gov/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1852707/000106299321011674/form8ka.htm,,23,,
6-K/A,000110465923127862,https://www.sec.gov/Archives/edgar/data/1574232/000110465923127862/0001104659-23-127862-index.html,/Archives/edgar/data/1574232/000110465923127862/adxn-20230630xex99d1.htm,http://172.18.85.157:8082/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1574232/000110465923127862/adxn-20230630xex99d1.htm,https://www-test.sec.gov/ix?doc=/Archives/edgar/data/1574232/000110465923127862/adxn-20230630xex99d1.htm,https://www.sec.gov/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1574232/000110465923127862/adxn-20230630xex99d1.htm,,912,,
10-Q,000143774923034166,https://www.sec.gov/Archives/edgar/data/1415744/000143774923034166/0001437749-23-034166-index.html,/Archives/edgar/data/1415744/000143774923034166/nmex20231031_10q.htm,http://172.18.85.157:8082/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1415744/000143774923034166/nmex20231031_10q.htm,https://www-test.sec.gov/ix?doc=/Archives/edgar/data/1415744/000143774923034166/nmex20231031_10q.htm,https://www.sec.gov/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1415744/000143774923034166/nmex20231031_10q.htm,,226,,
40-F/A,000121390023047204,https://www.sec.gov/Archives/edgar/data/1500881/000121390023047204/0001213900-23-047204-index.html,/Archives/edgar/data/1500881/000121390023047204/ea179913-40fa1_encore.htm,http://172.18.85.157:8082/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1500881/000121390023047204/ea179913-40fa1_encore.htm,https://www-test.sec.gov/ix?doc=/Archives/edgar/data/1500881/000121390023047204/ea179913-40fa1_encore.htm,https://www.sec.gov/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1500881/000121390023047204/ea179913-40fa1_encore.htm,,42,,
485BPOS,000089418923007993,https://www.sec.gov/Archives/edgar/data/1141819/000089418923007993/0000894189-23-007993-index.html,/Archives/edgar/data/1141819/000089418923007993/ck0001141819-20231031.htm,http://172.18.85.157:8082/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1141819/000089418923007993/ck0001141819-20231031.htm,https://www-test.sec.gov/ix?doc=/Archives/edgar/data/1141819/000089418923007993/ck0001141819-20231031.htm,https://www.sec.gov/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1141819/000089418923007993/ck0001141819-20231031.htm,,145,,
10-KT,000182912623008291,https://www.sec.gov/Archives/edgar/data/1653876/000182912623008291/0001829126-23-008291-index.html,/Archives/edgar/data/1653876/000182912623008291/momentous_10kt.htm,http://172.18.85.157:8082/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1653876/000182912623008291/momentous_10kt.htm,https://www-test.sec.gov/ix?doc=/Archives/edgar/data/1653876/000182912623008291/momentous_10kt.htm,https://www.sec.gov/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1653876/000182912623008291/momentous_10kt.htm,,220,,
10-QT,000149315224000139,https://www.sec.gov/Archives/edgar/data/1879293/000149315224000139/0001493152-24-000139-index.html,/Archives/edgar/data/1879293/000149315224000139/form10-qt.htm,http://172.18.85.157:8082/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1879293/000149315224000139/form10-qt.htm,https://www-test.sec.gov/ix?doc=/Archives/edgar/data/1879293/000149315224000139/form10-qt.htm,https://www.sec.gov/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1879293/000149315224000139/form10-qt.htm,,515,,
F-1,000110465923128439,https://www.sec.gov/Archives/edgar/data/1950246/000110465923128439/0001104659-23-128439-index.html,/Archives/edgar/data/1950246/000110465923128439/mtal-20230630xf1.htm,http://172.18.85.157:8082/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1950246/000110465923128439/mtal-20230630xf1.htm,https://www-test.sec.gov/ix?doc=/Archives/edgar/data/1950246/000110465923128439/mtal-20230630xf1.htm,https://www.sec.gov/ixviewer-plus/ix.xhtml?doc=/Archives/edgar/data/1950246/000110465923128439/mtal-20230630xf1.htm,,1360,,
